SN,Commodity,Date,Unit,Minimum,Maximum,Average
0,Tomato Big(Nepali),2013-06-16,Kg,35,40,37.5
2,Potato Red,2013-06-16,Kg,20,21,20.5
4,Onion Dry (Indian),2013-06-16,Kg,28,30,29
74,Tomato Big(Nepali),2013-06-17,Kg,25,30,27.5
76,Potato Red,2013-06-17,Kg,20,21,20.5
78,Onion Dry (Indian),2013-06-17,Kg,29,30,29.5
147,Tomato Big(Nepali),2013-06-18,Kg,25,30,27.5
149,Potato Red,2013-06-18,Kg,19,20,19.5
151,Onion Dry (Indian),2013-06-18,Kg,33,35,34
220,Tomato Big(Nepali),2013-06-19,Kg,25,30,27.5
222,Potato Red,2013-06-19,Kg,20,21,20.5
224,Onion Dry (Indian),2013-06-19,Kg,34,35,34.5
293,Tomato Big(Nepali),2013-06-20,Kg,25,30,27.5
295,Potato Red,2013-06-20,Kg,20,21,20.5
297,Onion Dry (Indian),2013-06-20,Kg,35,36,35.5
367,Tomato Big(Nepali),2013-06-21,Kg,25,30,27.5
369,Potato Red,2013-06-21,Kg,21,22,21.5
371,Onion Dry (Indian),2013-06-21,Kg,34,35,34.5
441,Tomato Big(Nepali),2013-06-25,Kg,30,35,32.5
443,Potato Red,2013-06-25,Kg,23,25,24
445,Onion Dry (Indian),2013-06-25,Kg,33,35,34
514,Tomato Big(Nepali),2013-06-26,Kg,30,35,32.5
516,Potato Red,2013-06-26,Kg,22,23,22.5
518,Onion Dry (Indian),2013-06-26,Kg,33,35,34
587,Tomato Big(Nepali),2013-06-27,Kg,30,35,32.5
589,Potato Red,2013-06-27,Kg,22,24,23
591,Onion Dry (Indian),2013-06-27,Kg,35,37,36
659,Tomato Big(Nepali),2013-06-28,Kg,30,35,32.5
661,Potato Red,2013-06-28,Kg,23,24,23.5
663,Onion Dry (Indian),2013-06-28,Kg,36,38,37
729,Tomato Big(Nepali),2013-06-30,Kg,25,30,27.5
731,Potato Red,2013-06-30,Kg,23,24,23.5
733,Onion Dry (Indian),2013-06-30,Kg,36,38,37
799,Tomato Big(Nepali),2013-07-01,Kg,25,30,27.5
801,Potato Red,2013-07-01,Kg,22,24,23
803,Onion Dry (Indian),2013-07-01,Kg,37,38,37.5
869,Tomato Big(Nepali),2013-07-02,Kg,30,35,32.5
871,Potato Red,2013-07-02,Kg,23,24,23.5
873,Onion Dry (Indian),2013-07-02,Kg,38,40,39
938,Tomato Big(Nepali),2013-07-03,Kg,30,35,32.5
940,Potato Red,2013-07-03,Kg,22,23,22.5
942,Onion Dry (Indian),2013-07-03,Kg,40,42,41
1008,Tomato Big(Nepali),2013-07-04,Kg,30,35,32.5
1010,Potato Red,2013-07-04,Kg,23,24,23.5
1012,Onion Dry (Indian),2013-07-04,Kg,40,42,41
1078,Tomato Big(Nepali),2013-07-05,Kg,30,35,32.5
1080,Potato Red,2013-07-05,Kg,22,24,23
1082,Onion Dry (Indian),2013-07-05,Kg,40,42,41
1147,Tomato Big(Nepali),2013-07-09,Kg,55,60,57.5
1149,Potato Red,2013-07-09,Kg,23,24,23.5
1151,Onion Dry (Indian),2013-07-09,Kg,44,46,45
1217,Tomato Big(Nepali),2013-07-10,Kg,55,60,57.5
1219,Potato Red,2013-07-10,Kg,23,24,23.5
1221,Onion Dry (Indian),2013-07-10,Kg,45,47,46
1287,Tomato Big(Nepali),2013-07-11,Kg,55,60,57.5
1289,Potato Red,2013-07-11,Kg,23,24,23.5
1291,Onion Dry (Indian),2013-07-11,Kg,44,46,45
1356,Tomato Big(Nepali),2013-07-12,Kg,70,80,75
1358,Potato Red,2013-07-12,Kg,23,24,23.5
1360,Onion Dry (Indian),2013-07-12,Kg,44,46,45
1426,Tomato Big(Nepali),2013-07-14,Kg,75,80,77.5
1428,Potato Red,2013-07-14,Kg,24,24,24
1430,Onion Dry (Indian),2013-07-14,Kg,44,46,45
1496,Tomato Big(Nepali),2013-07-15,Kg,75,80,77.5
1498,Potato Red,2013-07-15,Kg,23,24,23.5
1500,Onion Dry (Indian),2013-07-15,Kg,44,46,45
1564,Tomato Big(Nepali),2013-07-16,Kg,80,90,85
1566,Potato Red,2013-07-16,Kg,23,24,23.5
1568,Onion Dry (Indian),2013-07-16,Kg,46,48,47
1633,Tomato Big(Nepali),2013-07-17,Kg,80,90,85
1635,Potato Red,2013-07-17,Kg,23,24,23.5
1637,Onion Dry (Indian),2013-07-17,Kg,48,50,49
1704,Tomato Big(Nepali),2013-07-18,Kg,65,70,67.5
1706,Potato Red,2013-07-18,Kg,23,24,23.5
1708,Onion Dry (Indian),2013-07-18,Kg,52,55,53.5
1775,Tomato Big(Nepali),2013-07-19,Kg,55,60,57.5
1777,Potato Red,2013-07-19,Kg,23,24,23.5
1779,Onion Dry (Indian),2013-07-19,Kg,50,53,51.5
1845,Tomato Big(Nepali),2013-07-21,Kg,50,55,52.5
1847,Potato Red,2013-07-21,Kg,24,25,24.5
1849,Onion Dry (Indian),2013-07-21,Kg,50,53,51.5
1916,Tomato Big(Nepali),2013-07-22,Kg,55,60,57.5
1918,Potato Red,2013-07-22,Kg,23,24,23.5
1920,Onion Dry (Indian),2013-07-22,Kg,50,52,51
1987,Tomato Big(Nepali),2013-07-23,Kg,55,60,57.5
1989,Potato Red,2013-07-23,Kg,23,24,23.5
1991,Onion Dry (Indian),2013-07-23,Kg,50,52,51
2056,Tomato Big(Nepali),2013-07-24,Kg,50,55,52.5
2058,Potato Red,2013-07-24,Kg,23,24,23.5
2060,Onion Dry (Indian),2013-07-24,Kg,50,52,51
2125,Tomato Big(Nepali),2013-07-25,Kg,50,55,52.5
2127,Potato Red,2013-07-25,Kg,23,24,23.5
2129,Onion Dry (Indian),2013-07-25,Kg,49,52,50.5
2195,Tomato Big(Nepali),2013-07-26,Kg,45,50,47.5
2197,Potato Red,2013-07-26,Kg,23,24,23.5
2199,Onion Dry (Indian),2013-07-26,Kg,49,52,50.5
2263,Tomato Big(Nepali),2013-07-28,Kg,40,50,45
2265,Potato Red,2013-07-28,Kg,23,24,23.5
2267,Onion Dry (Indian),2013-07-28,Kg,50,51,50.5
2333,Tomato Big(Nepali),2013-07-29,Kg,50,55,52.5
2335,Potato Red,2013-07-29,Kg,23,24,23.5
2337,Onion Dry (Indian),2013-07-29,Kg,50,52,51
2401,Tomato Big(Nepali),2013-07-30,Kg,50,55,52.5
2403,Potato Red,2013-07-30,Kg,23,24,23.5
2405,Onion Dry (Indian),2013-07-30,Kg,50,52,51
2468,Tomato Big(Nepali),2013-07-31,Kg,40,45,42.5
2470,Potato Red,2013-07-31,Kg,23,24,23.5
2472,Onion Dry (Indian),2013-07-31,Kg,50,52,51
2534,Tomato Big(Nepali),2013-08-01,Kg,45,55,50
2536,Potato Red,2013-08-01,Kg,23,24,23.5
2538,Onion Dry (Indian),2013-08-01,Kg,51,53,52
2601,Tomato Big(Nepali),2013-08-02,Kg,45,50,47.5
2603,Potato Red,2013-08-02,Kg,23,24,23.5
2605,Onion Dry (Indian),2013-08-02,Kg,51,53,52
2669,Tomato Big(Nepali),2013-08-04,Kg,40,45,42.5
2671,Potato Red,2013-08-04,Kg,27,28,27.5
2673,Onion Dry (Indian),2013-08-04,Kg,56,58,57
2736,Tomato Big(Nepali),2013-08-05,Kg,35,40,37.5
2738,Potato Red,2013-08-05,Kg,26,27,26.5
2740,Onion Dry (Indian),2013-08-05,Kg,58,60,59
2802,Tomato Big(Nepali),2013-08-06,Kg,35,40,37.5
2804,Potato Red,2013-08-06,Kg,26,27,26.5
2806,Onion Dry (Indian),2013-08-06,Kg,60,62,61
2867,Tomato Big(Nepali),2013-08-07,Kg,34,36,35
2869,Potato Red,2013-08-07,Kg,26,27,26.5
2871,Onion Dry (Indian),2013-08-07,Kg,60,62,61
2933,Tomato Big(Nepali),2013-08-08,Kg,30,35,32.5
2935,Potato Red,2013-08-08,Kg,25,27,26
2937,Onion Dry (Indian),2013-08-08,Kg,60,62,61
3001,Tomato Big(Nepali),2013-08-12,Kg,18,20,19
3003,Potato Red,2013-08-12,Kg,25,26,25.5
3005,Onion Dry (Indian),2013-08-12,Kg,80,82,81
3041,Tomato Big(Nepali),2013-08-13,Kg,30,35,32.5
3043,Potato Red,2013-08-13,Kg,27,28,27.5
3045,Onion Dry (Indian),2013-08-13,Kg,88,90,89
3109,Tomato Big(Nepali),2013-08-14,Kg,35,40,37.5
3111,Potato Red,2013-08-14,Kg,27,28,27.5
3113,Onion Dry (Indian),2013-08-14,Kg,88,92,90
3179,Tomato Big(Nepali),2013-08-15,Kg,35,40,37.5
3181,Potato Red,2013-08-15,Kg,27,28,27.5
3183,Onion Dry (Indian),2013-08-15,Kg,88,90,89
3247,Tomato Big(Nepali),2013-08-16,Kg,55,60,57.5
3249,Potato Red,2013-08-16,Kg,28,29,28.5
3251,Onion Dry (Indian),2013-08-16,Kg,85,90,87.5
3318,Tomato Big(Nepali),2013-08-18,Kg,55,60,57.5
3320,Potato Red,2013-08-18,Kg,29,30,29.5
3322,Onion Dry (Indian),2013-08-18,Kg,80,85,82.5
3389,Tomato Big(Nepali),2013-08-19,Kg,55,60,57.5
3391,Potato Red,2013-08-19,Kg,29,30,29.5
3393,Onion Dry (Indian),2013-08-19,Kg,80,85,82.5
3459,Tomato Big(Nepali),2013-08-20,Kg,55,60,57.5
3461,Potato Red,2013-08-20,Kg,29,30,29.5
3463,Onion Dry (Indian),2013-08-20,Kg,80,82,81
3530,Tomato Big(Nepali),2013-08-23,Kg,55,60,57.5
3532,Potato Red,2013-08-23,Kg,30,32,31
3534,Onion Dry (Indian),2013-08-23,Kg,75,80,77.5
3601,Tomato Big(Nepali),2013-08-25,Kg,45,50,47.5
3603,Potato Red,2013-08-25,Kg,30,32,31
3605,Onion Dry (Indian),2013-08-25,Kg,75,80,77.5
3672,Tomato Big(Nepali),2013-08-26,Kg,50,55,52.5
3674,Potato Red,2013-08-26,Kg,30,32,31
3676,Onion Dry (Indian),2013-08-26,Kg,75,80,77.5
3743,Tomato Big(Nepali),2013-08-27,Kg,40,45,42.5
3745,Potato Red,2013-08-27,Kg,30,32,31
3747,Onion Dry (Indian),2013-08-27,Kg,75,80,77.5
3813,Tomato Big(Nepali),2013-08-29,Kg,35,40,37.5
3815,Potato Red,2013-08-29,Kg,30,32,31
3817,Onion Dry (Indian),2013-08-29,Kg,80,82,81
3882,Tomato Big(Nepali),2013-08-30,Kg,35,40,37.5
3884,Potato Red,2013-08-30,Kg,30,32,31
3886,Onion Dry (Indian),2013-08-30,Kg,75,80,77.5
3953,Tomato Big(Nepali),2013-09-01,Kg,35,40,37.5
3955,Potato Red,2013-09-01,Kg,31,32,31.5
3957,Onion Dry (Indian),2013-09-01,Kg,75,80,77.5
4021,Tomato Big(Nepali),2013-09-02,Kg,38,42,40
4023,Potato Red,2013-09-02,Kg,31,32,31.5
4025,Onion Dry (Indian),2013-09-02,Kg,78,80,79
4090,Tomato Big(Nepali),2013-09-03,Kg,40,45,42.5
4092,Potato Red,2013-09-03,Kg,30,32,31
4094,Onion Dry (Indian),2013-09-03,Kg,78,82,80
4157,Tomato Big(Nepali),2013-09-04,Kg,40,45,42.5
4159,Potato Red,2013-09-04,Kg,31,32,31.5
4161,Onion Dry (Indian),2013-09-04,Kg,75,80,77.5
4227,Tomato Big(Nepali),2013-09-05,Kg,40,45,42.5
4229,Potato Red,2013-09-05,Kg,31,32,31.5
4231,Onion Dry (Indian),2013-09-05,Kg,80,85,82.5
4297,Tomato Big(Nepali),2013-09-06,Kg,45,50,47.5
4299,Potato Red,2013-09-06,Kg,32,33,32.5
4301,Onion Dry (Indian),2013-09-06,Kg,80,85,82.5
4367,Tomato Big(Nepali),2013-09-08,Kg,42,46,44
4369,Potato Red,2013-09-08,Kg,31,32,31.5
4371,Onion Dry (Indian),2013-09-08,Kg,78,80,79
4438,Tomato Big(Nepali),2013-09-09,Kg,45,50,47.5
4440,Potato Red,2013-09-09,Kg,31,32,31.5
4442,Onion Dry (Indian),2013-09-09,Kg,80,82,81
4509,Tomato Big(Nepali),2013-09-10,Kg,45,50,47.5
4511,Potato Red,2013-09-10,Kg,31,32,31.5
4513,Onion Dry (Indian),2013-09-10,Kg,80,82,81
4580,Tomato Big(Nepali),2013-09-11,Kg,40,45,42.5
4582,Potato Red,2013-09-11,Kg,31,32,31.5
4584,Onion Dry (Indian),2013-09-11,Kg,80,85,82.5
4651,Tomato Big(Nepali),2013-09-12,Kg,40,45,42.5
4653,Potato Red,2013-09-12,Kg,30,32,31
4655,Onion Dry (Indian),2013-09-12,Kg,85,90,87.5
4721,Tomato Big(Nepali),2013-09-13,Kg,32,36,34
4723,Potato Red,2013-09-13,Kg,30,31,30.5
4725,Onion Dry (Indian),2013-09-13,Kg,85,90,87.5
4790,Tomato Big(Nepali),2013-09-15,Kg,35,40,37.5
4792,Potato Red,2013-09-15,Kg,31,32,31.5
4794,Onion Dry (Indian),2013-09-15,Kg,95,100,97.5
4859,Tomato Big(Nepali),2013-09-16,Kg,35,40,37.5
4861,Potato Red,2013-09-16,Kg,31,32,31.5
4863,Onion Dry (Indian),2013-09-16,Kg,95,97,96
4929,Tomato Big(Nepali),2013-09-17,Kg,35,40,37.5
4931,Potato Red,2013-09-17,Kg,31,32,31.5
4933,Onion Dry (Indian),2013-09-17,Kg,100,105,102.5
4999,Tomato Big(Nepali),2013-09-19,Kg,40,45,42.5
5001,Potato Red,2013-09-19,Kg,31,32,31.5
5003,Onion Dry (Indian),2013-09-19,Kg,100,105,102.5
5069,Tomato Big(Nepali),2013-09-20,Kg,38,40,39
5071,Potato Red,2013-09-20,Kg,30,31,30.5
5073,Onion Dry (Indian),2013-09-20,Kg,100,105,102.5
5138,Tomato Big(Nepali),2013-09-22,Kg,40,45,42.5
5140,Potato Red,2013-09-22,Kg,31,35,33
5142,Onion Dry (Indian),2013-09-22,Kg,100,105,102.5
5209,Tomato Big(Nepali),2013-09-23,Kg,38,40,39
5211,Potato Red,2013-09-23,Kg,31,32,31.5
5213,Onion Dry (Indian),2013-09-23,Kg,100,105,102.5
5280,Tomato Big(Nepali),2013-09-24,Kg,40,45,42.5
5282,Potato Red,2013-09-24,Kg,30,31,30.5
5284,Onion Dry (Indian),2013-09-24,Kg,95,100,97.5
5352,Tomato Big(Nepali),2013-09-25,Kg,32,36,34
5354,Potato Red,2013-09-25,Kg,30,31,30.5
5356,Onion Dry (Indian),2013-09-25,Kg,95,100,97.5
5423,Tomato Big(Nepali),2013-09-26,Kg,35,40,37.5
5425,Potato Red,2013-09-26,Kg,24,27,25.5
5427,Onion Dry (Indian),2013-09-26,Kg,95,100,97.5
5494,Tomato Big(Nepali),2013-09-27,Kg,35,40,37.5
5496,Potato Red,2013-09-27,Kg,25,26,25.5
5498,Onion Dry (Indian),2013-09-27,Kg,90,95,92.5
5566,Tomato Big(Nepali),2013-09-29,Kg,30,35,32.5
5568,Potato Red,2013-09-29,Kg,24,25,24.5
5570,Onion Dry (Indian),2013-09-29,Kg,90,95,92.5
5639,Tomato Big(Nepali),2013-09-30,Kg,35,40,37.5
5641,Potato Red,2013-09-30,Kg,24,25,24.5
5643,Onion Dry (Indian),2013-09-30,Kg,90,95,92.5
5710,Tomato Big(Nepali),2013-10-01,Kg,35,40,37.5
5712,Potato Red,2013-10-01,Kg,24,25,24.5
5714,Onion Dry (Indian),2013-10-01,Kg,90,95,92.5
5782,Tomato Big(Nepali),2013-10-02,Kg,40,45,42.5
5784,Potato Red,2013-10-02,Kg,25,26,25.5
5786,Onion Dry (Indian),2013-10-02,Kg,90,95,92.5
5856,Tomato Big(Nepali),2013-10-03,Kg,40,45,42.5
5858,Potato Red,2013-10-03,Kg,25,26,25.5
5860,Onion Dry (Indian),2013-10-03,Kg,95,100,97.5
5929,Tomato Big(Nepali),2013-10-04,Kg,40,45,42.5
5931,Potato Red,2013-10-04,Kg,26,27,26.5
5933,Onion Dry (Indian),2013-10-04,Kg,90,95,92.5
6003,Tomato Big(Nepali),2013-10-06,Kg,50,55,52.5
6005,Potato Red,2013-10-06,Kg,26,28,27
6007,Onion Dry (Indian),2013-10-06,Kg,88,92,90
6075,Tomato Big(Nepali),2013-10-07,Kg,75,80,77.5
6077,Potato Red,2013-10-07,Kg,26,28,27
6079,Onion Dry (Indian),2013-10-07,Kg,85,90,87.5
6150,Tomato Big(Nepali),2013-10-08,Kg,55,60,57.5
6152,Potato Red,2013-10-08,Kg,28,30,29
6154,Onion Dry (Indian),2013-10-08,Kg,85,90,87.5
6225,Tomato Big(Nepali),2013-10-09,Kg,60,65,62.5
6227,Potato Red,2013-10-09,Kg,30,32,31
6229,Onion Dry (Indian),2013-10-09,Kg,90,95,92.5
6300,Tomato Big(Nepali),2013-10-10,Kg,55,60,57.5
6302,Potato Red,2013-10-10,Kg,30,32,31
6304,Onion Dry (Indian),2013-10-10,Kg,92,96,94
6375,Tomato Big(Nepali),2013-10-11,Kg,55,60,57.5
6377,Potato Red,2013-10-11,Kg,30,32,31
6379,Onion Dry (Indian),2013-10-11,Kg,95,100,97.5
6450,Tomato Big(Nepali),2013-10-12,Kg,50,55,52.5
6452,Potato Red,2013-10-12,Kg,30,32,31
6454,Onion Dry (Indian),2013-10-12,Kg,90,100,95
6520,Tomato Big(Nepali),2013-10-13,Kg,50,55,52.5
6522,Potato Red,2013-10-13,Kg,30,32,31
6524,Onion Dry (Indian),2013-10-13,Kg,90,95,92.5
6559,Tomato Big(Nepali),2013-10-14,Kg,45,50,47.5
6561,Potato Red,2013-10-14,Kg,30,32,31
6563,Onion Dry (Indian),2013-10-14,Kg,95,100,97.5
6595,Tomato Big(Nepali),2013-10-15,Kg,40,45,42.5
6597,Potato Red,2013-10-15,Kg,30,32,31
6599,Onion Dry (Indian),2013-10-15,Kg,95,100,97.5
6631,Tomato Big(Nepali),2013-10-16,Kg,40,45,42.5
6633,Potato Red,2013-10-16,Kg,30,32,31
6635,Onion Dry (Indian),2013-10-16,Kg,95,100,97.5
6696,Tomato Big(Nepali),2013-10-17,Kg,35,40,37.5
6698,Potato Red,2013-10-17,Kg,30,32,31
6700,Onion Dry (Indian),2013-10-17,Kg,95,100,97.5
6764,Tomato Big(Nepali),2013-10-20,Kg,35,40,37.5
6766,Potato Red,2013-10-20,Kg,45,47,46
6768,Onion Dry (Indian),2013-10-20,Kg,100,110,105
6837,Tomato Big(Nepali),2013-10-21,Kg,35,40,37.5
6839,Potato Red,2013-10-21,Kg,45,47,46
6841,Onion Dry (Indian),2013-10-21,Kg,105,110,107.5
6909,Tomato Big(Nepali),2013-10-22,Kg,40,45,42.5
6911,Potato Red,2013-10-22,Kg,44,46,45
6913,Onion Dry (Indian),2013-10-22,Kg,105,110,107.5
6980,Tomato Big(Nepali),2013-10-23,Kg,40,45,42.5
6982,Potato Red,2013-10-23,Kg,48,50,49
6984,Onion Dry (Indian),2013-10-23,Kg,110,115,112.5
7049,Tomato Big(Nepali),2013-10-24,Kg,50,55,52.5
7051,Potato Red,2013-10-24,Kg,50,55,52.5
7053,Onion Dry (Indian),2013-10-24,Kg,115,120,117.5
7119,Tomato Big(Nepali),2013-10-25,Kg,55,60,57.5
7121,Potato Red,2013-10-25,Kg,52,55,53.5
7123,Onion Dry (Indian),2013-10-25,Kg,120,125,122.5
7191,Tomato Big(Nepali),2013-10-27,Kg,60,65,62.5
7193,Potato Red,2013-10-27,Kg,52,55,53.5
7195,Onion Dry (Indian),2013-10-27,Kg,110,120,115
7263,Tomato Big(Nepali),2013-10-28,Kg,50,60,55
7265,Potato Red,2013-10-28,Kg,50,52,51
7267,Onion Dry (Indian),2013-10-28,Kg,100,105,102.5
7336,Tomato Big(Nepali),2013-10-29,Kg,50,60,55
7338,Potato Red,2013-10-29,Kg,45,50,47.5
7340,Onion Dry (Indian),2013-10-29,Kg,100,105,102.5
7410,Tomato Big(Nepali),2013-10-30,Kg,55,60,57.5
7412,Potato Red,2013-10-30,Kg,40,45,42.5
7414,Onion Dry (Indian),2013-10-30,Kg,85,95,90
7484,Tomato Big(Nepali),2013-10-31,Kg,55,60,57.5
7486,Potato Red,2013-10-31,Kg,40,45,42.5
7488,Onion Dry (Indian),2013-10-31,Kg,90,95,92.5
7556,Tomato Big(Nepali),2013-11-01,Kg,55,60,57.5
7558,Potato Red,2013-11-01,Kg,35,40,37.5
7560,Onion Dry (Indian),2013-11-01,Kg,100,105,102.5
7630,Tomato Big(Nepali),2013-11-03,Kg,55,60,57.5
7631,Potato Red,2013-11-03,Kg,40,42,41
7633,Onion Dry (Indian),2013-11-03,Kg,95,100,97.5
7701,Tomato Big(Nepali),2013-11-04,Kg,55,60,57.5
7703,Potato Red,2013-11-04,Kg,40,45,42.5
7705,Onion Dry (Indian),2013-11-04,Kg,90,100,95
7775,Tomato Big(Nepali),2013-11-05,Kg,60,70,65
7777,Potato Red,2013-11-05,Kg,40,45,42.5
7779,Onion Dry (Indian),2013-11-05,Kg,90,100,95
7830,Tomato Big(Nepali),2013-11-06,Kg,90,100,95
7832,Potato Red,2013-11-06,Kg,40,45,42.5
7834,Onion Dry (Indian),2013-11-06,Kg,90,100,95
7877,Tomato Big(Nepali),2013-11-07,Kg,90,100,95
7879,Potato Red,2013-11-07,Kg,40,45,42.5
7881,Onion Dry (Indian),2013-11-07,Kg,90,100,95
7942,Tomato Big(Nepali),2013-11-10,Kg,80,90,85
7944,Potato Red,2013-11-10,Kg,40,42,41
7946,Onion Dry (Indian),2013-11-10,Kg,100,110,105
8008,Tomato Big(Nepali),2013-11-11,Kg,80,90,85
8010,Potato Red,2013-11-11,Kg,35,36,35.5
8012,Onion Dry (Indian),2013-11-11,Kg,100,110,105
8069,Tomato Big(Nepali),2013-11-12,Kg,85,90,87.5
8071,Potato Red,2013-11-12,Kg,35,36,35.5
8073,Onion Dry (Indian),2013-11-12,Kg,100,110,105
8132,Tomato Big(Nepali),2013-11-13,Kg,85,90,87.5
8134,Potato Red,2013-11-13,Kg,35,40,37.5
8136,Onion Dry (Indian),2013-11-13,Kg,100,110,105
8196,Tomato Big(Nepali),2013-11-14,Kg,95,100,97.5
8198,Potato Red,2013-11-14,Kg,41,44,42.5
8200,Onion Dry (Indian),2013-11-14,Kg,105,112,108.5
8259,Tomato Big(Nepali),2013-11-15,Kg,90,100,95
8261,Potato Red,2013-11-15,Kg,40,45,42.5
8263,Onion Dry (Indian),2013-11-15,Kg,103,110,106.5
8324,Tomato Big(Nepali),2013-11-16,Kg,85,100,92.5
8326,Potato Red,2013-11-16,Kg,40,44,42
8328,Onion Dry (Indian),2013-11-16,Kg,103,110,106.5
8390,Tomato Big(Nepali),2013-11-17,Kg,90,100,95
8392,Potato Red,2013-11-17,Kg,40,44,42
8394,Onion Dry (Indian),2013-11-17,Kg,100,105,102.5
8454,Tomato Big(Nepali),2013-11-18,Kg,85,100,92.5
8456,Potato Red,2013-11-18,Kg,40,45,42.5
8458,Onion Dry (Indian),2013-11-18,Kg,100,105,102.5
8519,Tomato Big(Nepali),2013-11-20,Kg,90,100,95
8521,Potato Red,2013-11-20,Kg,38,41,39.5
8523,Onion Dry (Indian),2013-11-20,Kg,80,90,85
8581,Tomato Big(Nepali),2013-11-21,Kg,80,90,85
8583,Potato Red,2013-11-21,Kg,40,42,41
8585,Onion Dry (Indian),2013-11-21,Kg,80,85,82.5
8649,Tomato Big(Nepali),2013-11-22,Kg,90,100,95
8651,Potato Red,2013-11-22,Kg,40,42,41
8653,Onion Dry (Indian),2013-11-22,Kg,75,80,77.5
8720,Tomato Big(Nepali),2013-11-24,Kg,80,90,85
8722,Potato Red,2013-11-24,Kg,35,40,37.5
8724,Onion Dry (Indian),2013-11-24,Kg,65,70,67.5
8790,Tomato Big(Nepali),2013-11-25,Kg,80,90,85
8792,Potato Red,2013-11-25,Kg,35,38,36.5
8794,Onion Dry (Indian),2013-11-25,Kg,65,70,67.5
8859,Tomato Big(Nepali),2013-11-26,Kg,80,90,85
8861,Potato Red,2013-11-26,Kg,35,38,36.5
8863,Onion Dry (Indian),2013-11-26,Kg,62,65,63.5
8928,Tomato Big(Nepali),2013-11-27,Kg,75,80,77.5
8930,Potato Red,2013-11-27,Kg,34,36,35
8932,Onion Dry (Indian),2013-11-27,Kg,60,65,62.5
8997,Tomato Big(Nepali),2013-11-28,Kg,70,80,75
8999,Potato Red,2013-11-28,Kg,32,35,33.5
9001,Onion Dry (Indian),2013-11-28,Kg,58,60,59
9066,Tomato Big(Nepali),2013-11-29,Kg,80,90,85
9068,Potato Red,2013-11-29,Kg,32,34,33
9070,Onion Dry (Indian),2013-11-29,Kg,58,60,59
9138,Tomato Big(Nepali),2013-12-01,Kg,75,80,77.5
9140,Potato Red,2013-12-01,Kg,30,32,31
9142,Onion Dry (Indian),2013-12-01,Kg,55,60,57.5
9210,Tomato Big(Nepali),2013-12-02,Kg,70,80,75
9212,Potato Red,2013-12-02,Kg,30,32,31
9214,Onion Dry (Indian),2013-12-02,Kg,45,50,47.5
9280,Tomato Big(Nepali),2013-12-03,Kg,60,70,65
9282,Potato Red,2013-12-03,Kg,30,32,31
9284,Onion Dry (Indian),2013-12-03,Kg,45,50,47.5
9353,Tomato Big(Nepali),2013-12-04,Kg,55,60,57.5
9355,Potato Red,2013-12-04,Kg,30,32,31
9357,Onion Dry (Indian),2013-12-04,Kg,45,50,47.5
9425,Tomato Big(Nepali),2013-12-05,Kg,40,50,45
9427,Potato Red,2013-12-05,Kg,30,32,31
9429,Onion Dry (Indian),2013-12-05,Kg,45,50,47.5
9497,Tomato Big(Nepali),2013-12-06,Kg,40,50,45
9499,Potato Red,2013-12-06,Kg,30,32,31
9501,Onion Dry (Indian),2013-12-06,Kg,45,50,47.5
9569,Tomato Big(Nepali),2013-12-08,Kg,50,60,55
9571,Potato Red,2013-12-08,Kg,32,34,33
9573,Onion Dry (Indian),2013-12-08,Kg,45,50,47.5
9640,Tomato Big(Nepali),2013-12-09,Kg,45,50,47.5
9642,Potato Red,2013-12-09,Kg,30,32,31
9644,Onion Dry (Indian),2013-12-09,Kg,45,50,47.5
9713,Tomato Big(Nepali),2013-12-10,Kg,50,60,55
9715,Potato Red,2013-12-10,Kg,30,32,31
9717,Onion Dry (Indian),2013-12-10,Kg,48,50,49
9786,Tomato Big(Nepali),2013-12-11,Kg,40,50,45
9788,Potato Red,2013-12-11,Kg,31,33,32
9790,Onion Dry (Indian),2013-12-11,Kg,48,50,49
9856,Tomato Big(Nepali),2013-12-12,Kg,45,50,47.5
9858,Potato Red,2013-12-12,Kg,30,32,31
9860,Onion Dry (Indian),2013-12-12,Kg,48,50,49
9927,Tomato Big(Nepali),2013-12-13,Kg,45,50,47.5
9929,Potato Red,2013-12-13,Kg,30,32,31
9931,Onion Dry (Indian),2013-12-13,Kg,48,50,49
9998,Tomato Big(Nepali),2013-12-15,Kg,40,50,45
10000,Potato Red,2013-12-15,Kg,30,32,31
10002,Onion Dry (Indian),2013-12-15,Kg,42,45,43.5
10070,Tomato Big(Nepali),2013-12-16,Kg,50,55,52.5
10072,Potato Red,2013-12-16,Kg,30,32,31
10074,Onion Dry (Indian),2013-12-16,Kg,40,42,41
10142,Tomato Big(Nepali),2013-12-18,Kg,50,55,52.5
10144,Potato Red,2013-12-18,Kg,28,30,29
10146,Onion Dry (Indian),2013-12-18,Kg,38,40,39
10217,Tomato Big(Nepali),2013-12-19,Kg,40,45,42.5
10219,Potato Red,2013-12-19,Kg,28,30,29
10221,Onion Dry (Indian),2013-12-19,Kg,37,40,38.5
10291,Tomato Big(Nepali),2013-12-20,Kg,45,50,47.5
10293,Potato Red,2013-12-20,Kg,28,30,29
10295,Onion Dry (Indian),2013-12-20,Kg,37,40,38.5
10366,Tomato Big(Nepali),2013-12-22,Kg,45,50,47.5
10368,Potato Red,2013-12-22,Kg,30,31,30.5
